Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,tissue
SRR13332301,RNA-Seq,132,862710193,PRJNA688734,SAMN17187133,359923278,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9759129,GSM4996098,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:44:00Z,1,GSM4996098,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332302,RNA-Seq,135,775399611,PRJNA688734,SAMN17187132,325109797,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9759130,GSM4996099,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:44:00Z,1,GSM4996099,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332303,RNA-Seq,135,795894923,PRJNA688734,SAMN17187132,333085565,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9759130,GSM4996099,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:44:00Z,1,GSM4996099,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332304,RNA-Seq,135,794533735,PRJNA688734,SAMN17187132,334802939,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9759130,GSM4996099,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:44:00Z,1,GSM4996099,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332305,RNA-Seq,135,778342924,PRJNA688734,SAMN17187132,324533078,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9759130,GSM4996099,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:44:00Z,1,GSM4996099,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332306,RNA-Seq,135,708946260,PRJNA688734,SAMN17187131,295355090,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9759131,GSM4996100,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:43:00Z,1,GSM4996100,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332307,RNA-Seq,135,731940678,PRJNA688734,SAMN17187131,304183642,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9759131,GSM4996100,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:44:00Z,1,GSM4996100,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332308,RNA-Seq,135,728233311,PRJNA688734,SAMN17187131,305003976,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9759131,GSM4996100,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:43:00Z,1,GSM4996100,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332309,RNA-Seq,135,713791164,PRJNA688734,SAMN17187131,295641211,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9759131,GSM4996100,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:44:00Z,1,GSM4996100,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332310,RNA-Seq,136,987676896,PRJNA688734,SAMN17187130,412045410,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9759132,GSM4996101,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:45:00Z,1,GSM4996101,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332311,RNA-Seq,136,1019650489,PRJNA688734,SAMN17187130,424136632,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9759132,GSM4996101,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:45:00Z,1,GSM4996101,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332312,RNA-Seq,136,1012702584,PRJNA688734,SAMN17187130,424707445,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9759132,GSM4996101,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:45:00Z,1,GSM4996101,cadaver donor eye tissue,SRP299835,24 hours,sclera
SRR13332313,RNA-Seq,136,993565159,PRJNA688734,SAMN17187130,411964066,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9759132,GSM4996101,"SARS-CoV-2, MOI = 1.0",NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:44:00Z,1,GSM4996101,cadaver donor eye tissue,SRP299835,24 hours,sclera
